iter	Passed	Remaining
954	11998	565
955	12013	552
956	12027	540
957	12039	527
958	12051	515
959	12064	502
960	12078	490
961	12089	477
962	12102	464
963	12118	452
964	12144	440
965	12157	427
966	12169	415
967	12182	402
968	12195	390
969	12207	377
970	12220	364
971	12231	352
972	12243	339
973	12256	327
974	12269	314
975	12281	301
976	12292	289
977	12303	276
978	12315	264
979	12326	251
980	12339	238
981	12351	226
982	12362	213
983	12375	201
984	12387	188
985	12399	176
986	12411	163
987	12423	150
988	12434	138
989	12446	125
990	12458	113
991	12470	100
992	12482	87
993	12494	75
994	12506	62
995	12517	50
996	12528	37
997	12542	25
998	12554	12
999	12568	0
