iter	RMSE
648	1998294.319
649	1998057.352
650	1997824.824
651	1997599.296
652	1997250.248
653	1997007.742
654	1996780.593
655	1996481.261
656	1996326.173
657	1996131.073
658	1995826.125
659	1995610.232
660	1995294.651
661	1995004.272
662	1994803.403
663	1994574.898
664	1994438.353
665	1994162.519
666	1994014.121
667	1993759.015
668	1993504.032
669	1993265.076
670	1993084.771
671	1992820.247
672	1992503.404
673	1992279.55
674	1992080.209
675	1991871.708
676	1991641.393
677	1991433.574
678	1991202.242
679	1991066.192
680	1990855.18
681	1990665.302
682	1990565.957
683	1990388.439
684	1990219.466
685	1990031.876
686	1989833.989
687	1989626.478
688	1989378.997
689	1989121.609
690	1988747.103
691	1988492.493
692	1988211.704
693	1987969.037
694	1987729.057
695	1987527.392
696	1987271.544
697	1987045.445
698	1986806.247
699	1986625.333
700	1986464.413
701	1986219.376
702	1986145.912
703	1986034.185
704	1985758.741
705	1985573.962
706	1985303.84
707	1985080.96
708	1984973.399
709	1984827.303
710	1984715.161
711	1984573.342
712	1984368.857
713	1984066.669
714	1983820.345
715	1983664.36
716	1983462.203
717	1983142.111
718	1983055.28
719	1982912.29
720	1982654.43
721	1982439.101
722	1982358.694
723	1982209.574
724	1982082.938
725	1981773.61
726	1981647.551
727	1981443.353
728	1981239.99
729	1981051.212
730	1980798.624
731	1980686.134
732	1980514.932
733	1980400.76
734	1980244.985
735	1980035.494
736	1979798.215
737	1979611.707
738	1979475.84
739	1979368.95
740	1979210.012
741	1978935.25
742	1978779.394
743	1978566.599
744	1978334.1
745	1978197.911
746	1977951.413
747	1977839.248
748	1977688.556
749	1977631.111
750	1977470.655
751	1977202.918
752	1976976.372
753	1976790.867
754	1976577.518
755	1976359.563
756	1976298.007
757	1975979.537
758	1975706.688
759	1975505.537
760	1975255.206
761	1975004.677
762	1974843.848
763	1974667.845
764	1974464.578
765	1974207.715
766	1973953.966
767	1973749.014
768	1973643.317
769	1973389.835
770	1973146.036
771	1972992.204
772	1972823.802
773	1972602.358
774	1972423.493
775	1972151.413
776	1972031.779
777	1971833.898
778	1971571.734
779	1971413.399
780	1971214.476
781	1971044.718
782	1970883.453
783	1970764.19
784	1970620.516
785	1970338.938
786	1970024.329
787	1969786.694
788	1969484.184
789	1969355.775
790	1969080.921
791	1968991.191
792	1968794.983
793	1968599.133
794	1968462.322
795	1968248.729
796	1968004.895
797	1967826.134
798	1967565.212
799	1967446.156
800	1967250.446
801	1967142.94
802	1966958.441
803	1966821.822
804	1966620.794
805	1966423.971
806	1966246.227
807	1966112.174
808	1965926.279
809	1965727.678
810	1965588.978
811	1965304.703
812	1965025.641
813	1964886.422
814	1964700.155
815	1964463.815
816	1964197.087
817	1964067.793
818	1963905.438
819	1963702.025
820	1963499.682
821	1963214.616
822	1963050.898
823	1962820.736
824	1962531.314
825	1962471.262
826	1962176.062
827	1961925.39
828	1961691.837
829	1961542.078
830	1961314.268
831	1961110.149
832	1960705.717
833	1960565.282
834	1960354.43
835	1960151.396
836	1959980.182
837	1959701.172
838	1959553.412
839	1959311.203
840	1959089.343
841	1958983.788
842	1958804.59
843	1958751.617
844	1958645.238
845	1958379.753
846	1958151.076
847	1957955.732
848	1957728.749
849	1957525.086
850	1957260.764
851	1957139.946
852	1956963.555
853	1956741.959
854	1956554.653
855	1956470.322
856	1956252.442
857	1956162.601
858	1955956.397
859	1955768.825
860	1955628.356
861	1955469.286
862	1955425.133
863	1955264.161
864	1954983.871
865	1954838.963
866	1954614.354
867	1954438.97
868	1954187.313
869	1954011.627
870	1953890.308
871	1953816.315
872	1953652.41
873	1953422.289
874	1953359.64
875	1953228.535
876	1952983.766
877	1952817.825
878	1952565.19
879	1952397.929
880	1952180.342
881	1952090.556
882	1951899.003
883	1951689.381
884	1951379.426
885	1951177.851
886	1951038.52
887	1951004.042
888	1950705.493
889	1950546.586
890	1950332.993
891	1950138.293
892	1949919.029
893	1949803.184
894	1949668.205
895	1949513.751
896	1949327.578
897	1949112.859
898	1948885.377
899	1948673.772
900	1948432.761
901	1948264.466
902	1948162.028
903	1948124.569
904	1947947.698
905	1947708.946
906	1947509.738
907	1947336.29
908	1947150.196
909	1946990.092
910	1946889.771
911	1946702.696
912	1946577.841
913	1946439.424
914	1946336.107
915	1946184.707
916	1945956.321
917	1945746.862
918	1945570.233
919	1945325.053
920	1945244.033
921	1945067.519
922	1944940.543
923	1944628.021
924	1944412.126
925	1944313.033
926	1944170.857
927	1943879.566
928	1943730.012
929	1943364.748
930	1943105.183
931	1942780.816
932	1942586.655
933	1942431.228
934	1942167.842
935	1942030.571
936	1941844.672
937	1941767.593
938	1941601.822
939	1941451.734
940	1941181.104
941	1940964.783
942	1940837.158
943	1940749.441
944	1940438.384
945	1940349.67
946	1940180.59
947	1940069.786
948	1939885.352
949	1939685.976
950	1939421.351
951	1939351.16
952	1939202.127
953	1939100.316
954	1938847.582
955	1938627.682
956	1938380.872
957	1938209.934
958	1937997.33
959	1937802.662
960	1937586.693
961	1937458.749
962	1937422.739
963	1937146.818
964	1936981.827
965	1936887.926
966	1936725.772
967	1936455.337
968	1936200.558
969	1936100.349
970	1935906.616
971	1935779.101
972	1935620.753
973	1935464.321
974	1935273.938
975	1935153.573
976	1934991.729
977	1934856.413
978	1934679.207
979	1934587.752
980	1934415.106
981	1934117.276
982	1933915.913
983	1933711.07
984	1933583.51
985	1933319.96
986	1933193.231
987	1933012.887
988	1932948.957
989	1932786.777
990	1932574.966
991	1932362.857
992	1932184.032
993	1932103.626
994	1931913.589
995	1931843.265
996	1931801.113
997	1931532.929
998	1931377.31
999	1931175.749
