iter	Passed	Remaining
666	27039	13499
667	27111	13474
668	27189	13452
669	27266	13429
670	27331	13401
671	27403	13375
672	27478	13351
673	27544	13322
674	27597	13287
675	27645	13250
676	27715	13222
677	27768	13187
678	27824	13154
679	27897	13128
680	27959	13096
681	28025	13067
682	28096	13040
683	28160	13009
684	28218	12976
685	28277	12943
686	28336	12910
687	28409	12883
688	28473	12852
689	28544	12824
690	28628	12801
691	28697	12772
692	28759	12740
693	28821	12708
694	28878	12673
695	28963	12650
696	29040	12624
697	29127	12602
698	29207	12577
699	29271	12544
700	29336	12512
701	29407	12483
702	29475	12452
703	29496	12401
704	29532	12357
705	29573	12315
706	29633	12280
707	29689	12244
708	29753	12211
709	29850	12192
710	29916	12160
711	29946	12113
712	29977	12066
713	30011	12021
714	30039	11973
715	30092	11936
716	30128	11891
717	30166	11847
718	30203	11804
719	30233	11757
720	30266	11712
721	30303	11667
722	30337	11623
723	30373	11578
724	30407	11533
725	30440	11488
726	30474	11443
727	30507	11398
728	30552	11357
729	30589	11313
730	30622	11268
731	30639	11217
732	30666	11170
733	30701	11126
734	30729	11079
735	30758	11032
736	30796	10989
737	30829	10945
738	30866	10901
739	30903	10857
740	30932	10811
741	30966	10767
742	31004	10724
743	31036	10679
744	31068	10634
745	31103	10590
746	31134	10544
747	31165	10499
748	31225	10464
749	31264	10421
750	31296	10376
751	31327	10331
752	31357	10285
753	31391	10241
754	31430	10199
755	31457	10152
756	31480	10105
757	31506	10058
758	31546	10016
759	31572	9970
760	31602	9925
761	31626	9878
762	31650	9831
763	31678	9785
764	31711	9741
765	31735	9694
766	31770	9651
767	31814	9610
768	31855	9569
769	31890	9525
770	31925	9482
771	31955	9437
772	31988	9393
773	32050	9358
774	32143	9331
775	32180	9289
776	32212	9244
777	32248	9202
778	32282	9158
779	32317	9115
780	32354	9072
781	32388	9028
782	32417	8984
783	32446	8939
784	32479	8895
785	32512	8852
786	32554	8810
787	32592	8768
788	32628	8725
789	32658	8681
790	32695	8638
791	32769	8606
792	32835	8571
793	32907	8537
794	32965	8500
795	32996	8456
796	33032	8413
797	33070	8371
798	33101	8327
799	33132	8283
800	33170	8240
801	33209	8198
802	33244	8155
803	33277	8112
804	33309	8068
805	33341	8025
806	33378	7982
807	33411	7939
808	33443	7895
809	33476	7852
810	33514	7810
811	33558	7769
812	33596	7727
813	33632	7685
814	33658	7640
815	33686	7596
816	33709	7550
817	33743	7507
818	33775	7464
819	33826	7425
820	33897	7390
821	33990	7360
822	34051	7323
823	34101	7283
824	34187	7251
825	34234	7211
826	34280	7171
827	34333	7132
828	34369	7089
829	34417	7049
830	34451	7006
831	34494	6965
832	34542	6925
833	34610	6888
834	34660	6848
835	34694	6806
836	34746	6766
837	34797	6726
838	34842	6686
839	34885	6644
840	34927	6603
841	34960	6560
842	34995	6517
843	35030	6474
844	35064	6431
845	35100	6389
846	35133	6346
847	35166	6303
848	35199	6260
849	35235	6217
850	35271	6175
851	35305	6132
852	35335	6089
853	35371	6047
854	35406	6004
855	35443	5962
856	35476	5919
857	35510	5877
858	35553	5835
859	35594	5794
860	35636	5753
861	35700	5715
862	35770	5678
863	35851	5643
864	35917	5605
865	36001	5570
866	36083	5535
867	36164	5499
868	36205	5457
869	36260	5418
870	36320	5379
871	36370	5338
872	36397	5294
873	36446	5254
874	36480	5211
875	36513	5168
876	36561	5127
877	36589	5084
878	36621	5041
879	36656	4998
880	36693	4956
881	36721	4912
882	36756	4870
883	36790	4827
884	36824	4785
885	36854	4742
886	36885	4699
887	36917	4656
888	36949	4613
889	36984	4571
890	37012	4527
891	37046	4485
892	37085	4443
893	37119	4401
894	37153	4358
895	37197	4317
896	37246	4276
897	37307	4237
898	37403	4202
899	37480	4164
900	37562	4127
901	37613	4086
902	37663	4045
903	37710	4004
904	37774	3965
905	37827	3924
906	37855	3881
907	37885	3838
908	37909	3795
909	37950	3753
910	37996	3712
911	38055	3672
912	38084	3629
913	38120	3586
914	38150	3543
915	38183	3501
916	38210	3458
917	38239	3415
918	38271	3373
919	38304	3330
920	38334	3288
921	38359	3245
922	38385	3202
923	38410	3159
924	38442	3116
925	38465	3073
926	38491	3031
927	38543	2990
928	38615	2951
929	38667	2910
930	38735	2870
931	38780	2829
932	38818	2787
933	38874	2747
934	38950	2707
935	38986	2665
936	39024	2623
937	39060	2581
938	39098	2539
939	39134	2497
940	39156	2455
941	39192	2413
942	39225	2370
943	39261	2329
944	39296	2287
945	39324	2244
946	39360	2202
947	39386	2160
948	39411	2117
949	39437	2075
950	39466	2033
951	39505	1991
952	39537	1949
953	39587	1908
954	39624	1867
955	39669	1825
956	39703	1783
957	39740	1742
958	39779	1700
959	39838	1659
960	39903	1619
961	39967	1578
962	40045	1538
963	40114	1498
964	40162	1456
965	40229	1415
966	40272	1374
967	40301	1332
968	40333	1290
969	40357	1248
970	40387	1206
971	40415	1164
972	40440	1122
973	40469	1080
974	40498	1038
975	40517	996
976	40550	954
977	40586	912
978	40611	871
979	40641	829
980	40661	787
981	40683	745
982	40714	704
983	40744	662
984	40780	621
985	40815	579
986	40850	538
987	40885	496
988	40922	455
989	40952	413
990	40988	372
991	41026	330
992	41057	289
993	41071	247
994	41089	206
995	41121	165
996	41143	123
997	41164	82
998	41207	41
999	41266	0
